Course,Name,Description,Prerequisites,Lab,Hours,Focus,Semester,ClassSize,CatLink,RegLink
GEOG 100,Geography for Today,"Each topic stretches the geographical imagination by offering a new lens through which to view the relationship between people and the richly diverse and varied environments they inhabit. From the intimate personal places of one individual's human experience to the worldwide reach of global-scale physical environmental changes that impact everyone, the complex challenges and opportunities of today's world are illuminated with the help of an integrated spatial perspective. Topic may change from year to year.",May be taken more than once for credit in different topics.,,3-0-0,Elective,Fall,100,https://www.uvic.ca/calendar/future/undergrad/index.php#/courses/SJxfH_6mE?group=Geography%20(GEOG)&bc=true&bcCurrent=Geography%20(GEOG)&bcItemType=Courses&bc=true&bcCurrent=GEOG100%20-%20Geography%20for%20Today&bcGroup=Geography%20(GEOG)&bcItemType=courses,https://banner.uvic.ca/StudentRegistrationSsb/ssb/classSearch/classSearch?term=202209&txt_subject=GEOG&txt_courseNumber=100
GEOG 101A,"Environment, Society & Sustainability","Introduction to the functioning of the biosphere, the ways in which humans alter natural processes, environmental consequences of these alterations and the implications for sustainability. Topics include: energy flows, biogeochemical cycles, ecosystem structure and dynamics, pollution, global change, water resources, biodiversity, endangered species, protected areas, agriculture and food, forestry, marine resources, poverty and development and different worldviews. Potential for a sustainable society is discussed.","Credit granted for only one of GEOG 101A, ES 101",Lab,3-2-0,Base Human Physical Environment,Fall Spring,110,https://www.uvic.ca/calendar/future/undergrad/index.php#/courses/H1bzS_67E?bc=true&bcCurrent=Environment%2C%20Society%20and%20Sustainability&bcGroup=Geography%20(GEOG)&bcItemType=Courses,https://banner.uvic.ca/StudentRegistrationSsb/ssb/classSearch/classSearch?term=202301&txt_subject=GEOG&txt_courseNumber=101A
GEOG 101B,"Space, Place and Society","Perspectives on the scope and purpose of human geography, emphasizing approaches, concepts and scales of geographical analysis. Topics include: social geography of cities; interpretation of regional; cultural and economic landscapes; urbanization and industrialization of regions; and economic development and social change in the world system.",,Lab,3-2-0,Base Human,Fall Spring,132,https://www.uvic.ca/calendar/future/undergrad/index.php#/courses/H1-GBOaXN?bc=true&bcCurrent=Space%2C%20Place%20and%20Society&bcGroup=Geography%20(GEOG)&bcItemType=Courses,https://banner.uvic.ca/StudentRegistrationSsb/ssb/classSearch/classSearch?term=202301&txt_subject=GEOG&txt_courseNumber=101B
GEOG 103,Introduction to Physical Geography,"Introduces the science of Physical Geography using an earth-systems approach. Course themes include global climates and climate change, hydrology and water resources, geomorphology and natural hazards, and biogeography; with focus on how geographic sciences are applied to address real world issues.",,Lab,3-2-0,Base Physical Environment,Fall Spring,198,https://www.uvic.ca/calendar/future/undergrad/index.php#/courses/SJMzBua7N?bc=true&bcCurrent=Introduction%20to%20Physical%20Geography&bcGroup=Geography%20(GEOG)&bcItemType=Courses,https://banner.uvic.ca/StudentRegistrationSsb/ssb/classSearch/classSearch?term=202301&txt_subject=GEOG&txt_courseNumber=103
GEOG 104,Our Digital Earth,"Introduces students to how geospatial technologies influence our daily lives and shape the world around us. Students learn how to collect and utilize location-based data, develop web maps and mobile mapping apps, create technologies to respond to environmental disasters and humanitarian crises, and think spatially in order to improve our understanding of our planet.","Credit granted for only one of GEOG 104, GEOG 100",,3-0-0,Base Geomatics,Fall Spring,60,https://www.uvic.ca/calendar/future/undergrad/index.php#/courses/HkUg06FiH?bc=true&bcCurrent=Our%20Digital%20Earth&bcGroup=Geography%20(GEOG)&bcItemType=Courses,https://banner.uvic.ca/StudentRegistrationSsb/ssb/classSearch/classSearch?term=202301&txt_subject=GEOG&txt_courseNumber=104
GEOG 130,Climate Change,"An introduction to the fundamental physical principles governing the climate of the Earth system, and its response to anthropogenic factors. Topics include components of the climate system, radiative energy balance, forcings and feedbacks, the carbon cycle, climate of the past, impacts of climate change, global climate model projections, and approaches to mitigation and adaptation.",Cross-listed with EOS130,Lab,3-2-0,Base Physical Environment,Fall Spring,186,https://www.uvic.ca/calendar/future/undergrad/index.php#/courses/HkMDtUICD?bc=true&bcCurrent=Climate%20Change&bcGroup=Geography%20(GEOG)&bcItemType=Courses,https://banner.uvic.ca/StudentRegistrationSsb/ssb/classSearch/classSearch?term=202301&txt_subject=GEOG&txt_courseNumber=130
GEOG 209,Introduction to Environmental Management,"Introduces and critically interrogates approaches to the management or governance of environments and natural resources. Themes may include: parks and protected areas, fisheries, forestry, water and energy management; environmental impact assessment; comprehensive land-use and marine spatial planning; and urban sustainability, all in the context of profound political and environmental change, colonialism, and Indigenous resurgence.","GEOG 101A, GEOG 103",Lab,3-2-0,Environment,Fall,110,https://www.uvic.ca/calendar/future/undergrad/index.php#/courses/BJPfS_pXN?group=Geography%20(GEOG)&bc=true&bcCurrent=Geography%20(GEOG)&bcItemType=Courses&bc=true&bcCurrent=GEOG209%20-%20Introduction%20to%20Environmental%20Management&bcGroup=Geography%20(GEOG)&bcItemType=courses,https://banner.uvic.ca/StudentRegistrationSsb/ssb/classSearch/classSearch?term=202209&txt_subject=GEOG&txt_courseNumber=209
GEOG 211,Political and Economic Geography,"Examines the major thematic concerns that have traditionally shaped the sub-disciplines of political and economic geography, while also engaging with emerging issues that are likely to become focal points in shaping future debates. Explores the co-constitutive relationship between politics, economics and space.","GEOG101B; minimum second-year standing; Credit granted for only one of GEOG 211, GEOG 201A, GEOG 201B",Lab,3-2-0,??,Fall,86,https://www.uvic.ca/calendar/future/undergrad/index.php#/courses/SkgvGHOpQN?group=Geography%20(GEOG)&bc=true&bcCurrent=Geography%20(GEOG)&bcItemType=Courses&bc=true&bcCurrent=GEOG211%20-%20Political%20and%20Economic%20Geography&bcGroup=Geography%20(GEOG)&bcItemType=courses,https://banner.uvic.ca/StudentRegistrationSsb/ssb/classSearch/classSearch?term=202209&txt_subject=GEOG&txt_courseNumber=211
GEOG 218,Social and Cultural Geography,"Introduction to social and cultural geography with a focus on the interpretation of cultural landscapes, place-making, and the spatial expression of social and cultural identities. Lab assignments involve fieldwork and critical reflection on the relation between culture, society and landscape.",GEOG 101B,Lab,3-2-0,??,Spring,88,https://www.uvic.ca/calendar/future/undergrad/index.php#/courses/ryYfrdT74?group=Geography%20(GEOG)&bc=true&bcCurrent=Geography%20(GEOG)&bcItemType=Courses&bc=true&bcCurrent=GEOG218%20-%20Social%20and%20Cultural%20Geography&bcGroup=Geography%20(GEOG)&bcItemType=courses,https://banner.uvic.ca/StudentRegistrationSsb/ssb/classSearch/classSearch?term=202301&txt_subject=GEOG&txt_courseNumber=218
GEOG 220,Weather and Climate,"An introduction to the physical processes that determine Earth’s weather and climate. Topics include atmospheric composition, flows of energy through the atmosphere, small-scale and large-scale winds, cloud and precipitation processes, climate change.","Complete all of the following: 1.5 units of: 100 level PHYS; 1.5 units of: 100 level MATH; or permission of the department; Cross-listed with EOS 220; Credit  granted for only one of GEOG 220, EOS 220",,3-0-2,Physical,??,,https://www.uvic.ca/calendar/future/undergrad/index.php#/courses/SJ11EdLRw?group=Geography%20(GEOG)&bc=true&bcCurrent=Geography%20(GEOG)&bcItemType=Courses&bc=true&bcCurrent=GEOG220%20-%20Weather%20and%20Climate&bcGroup=Geography%20(GEOG)&bcItemType=courses,
